# DRO_SourceID DetLink DetSlot DetCrate DetID DRO_Host DRO_Card DRO_SLR DRO_Link
368 0 8 30 3 pc-tbed-tpu-05016 0 0 8
369 0 9 30 3 pc-tbed-tpu-05016 0 0 9
370 0 10 30 3 pc-tbed-tpu-05016 0 0 10
371 0 11 30 3 pc-tbed-tpu-05016 0 0 11
372 0 0 31 3 pc-tbed-tpu-05016 1 0 0
373 0 1 31 3 pc-tbed-tpu-05016 1 0 1
374 0 2 31 3 pc-tbed-tpu-05016 1 0 2
375 0 3 31 3 pc-tbed-tpu-05016 1 0 3
376 0 4 31 3 pc-tbed-tpu-05016 1 0 4
377 0 5 31 3 pc-tbed-tpu-05016 1 0 5
378 0 6 31 3 pc-tbed-tpu-05016 1 0 6
379 0 7 31 3 pc-tbed-tpu-05016 1 0 7
380 0 8 31 3 pc-tbed-tpu-05016 1 0 8
381 0 9 31 3 pc-tbed-tpu-05016 1 0 9
382 0 10 31 3 pc-tbed-tpu-05016 1 0 10
383 0 11 31 3 pc-tbed-tpu-05016 1 0 11
384 0 0 32 3 pc-tbed-tpu-05017 0 0 0
385 0 1 32 3 pc-tbed-tpu-05017 0 0 1
386 0 2 32 3 pc-tbed-tpu-05017 0 0 2
387 0 3 32 3 pc-tbed-tpu-05017 0 0 3
388 0 4 32 3 pc-tbed-tpu-05017 0 0 4
389 0 5 32 3 pc-tbed-tpu-05017 0 0 5
390 0 6 32 3 pc-tbed-tpu-05017 0 0 6
391 0 7 32 3 pc-tbed-tpu-05017 0 0 7
392 0 8 32 3 pc-tbed-tpu-05017 0 0 8
393 0 9 32 3 pc-tbed-tpu-05017 0 0 9
394 0 10 32 3 pc-tbed-tpu-05017 0 0 10
395 0 11 32 3 pc-tbed-tpu-05017 0 0 11
396 0 0 33 3 pc-tbed-tpu-05017 1 0 0
397 0 1 33 3 pc-tbed-tpu-05017 1 0 1
398 0 2 33 3 pc-tbed-tpu-05017 1 0 2
399 0 3 33 3 pc-tbed-tpu-05017 1 0 3
400 0 4 33 3 pc-tbed-tpu-05017 1 0 4
401 0 5 33 3 pc-tbed-tpu-05017 1 0 5
402 0 6 33 3 pc-tbed-tpu-05017 1 0 6
403 0 7 33 3 pc-tbed-tpu-05017 1 0 7
404 0 8 33 3 pc-tbed-tpu-05017 1 0 8
405 0 9 33 3 pc-tbed-tpu-05017 1 0 9
406 0 10 33 3 pc-tbed-tpu-05017 1 0 10
407 0 11 33 3 pc-tbed-tpu-05017 1 0 11
408 0 0 34 3 pc-tbed-tpu-05018 0 0 0
409 0 1 34 3 pc-tbed-tpu-05018 0 0 1
410 0 2 34 3 pc-tbed-tpu-05018 0 0 2
411 0 3 34 3 pc-tbed-tpu-05018 0 0 3
412 0 4 34 3 pc-tbed-tpu-05018 0 0 4
413 0 5 34 3 pc-tbed-tpu-05018 0 0 5
414 0 6 34 3 pc-tbed-tpu-05018 0 0 6
415 0 7 34 3 pc-tbed-tpu-05018 0 0 7
416 0 8 34 3 pc-tbed-tpu-05018 0 0 8
417 0 9 34 3 pc-tbed-tpu-05018 0 0 9
418 0 10 34 3 pc-tbed-tpu-05018 0 0 10
419 0 11 34 3 pc-tbed-tpu-05018 0 0 11
420 0 0 35 3 pc-tbed-tpu-05018 1 0 0
421 0 1 35 3 pc-tbed-tpu-05018 1 0 1
422 0 2 35 3 pc-tbed-tpu-05018 1 0 2
423 0 3 35 3 pc-tbed-tpu-05018 1 0 3
424 0 4 35 3 pc-tbed-tpu-05018 1 0 4
425 0 5 35 3 pc-tbed-tpu-05018 1 0 5
426 0 6 35 3 pc-tbed-tpu-05018 1 0 6
427 0 7 35 3 pc-tbed-tpu-05018 1 0 7
428 0 8 35 3 pc-tbed-tpu-05018 1 0 8
429 0 9 35 3 pc-tbed-tpu-05018 1 0 9
430 0 10 35 3 pc-tbed-tpu-05018 1 0 10
431 0 11 35 3 pc-tbed-tpu-05018 1 0 11
432 0 0 36 3 pc-tbed-tpu-05019 0 0 0
433 0 1 36 3 pc-tbed-tpu-05019 0 0 1
434 0 2 36 3 pc-tbed-tpu-05019 0 0 2
435 0 3 36 3 pc-tbed-tpu-05019 0 0 3
436 0 4 36 3 pc-tbed-tpu-05019 0 0 4
437 0 5 36 3 pc-tbed-tpu-05019 0 0 5
438 0 6 36 3 pc-tbed-tpu-05019 0 0 6
439 0 7 36 3 pc-tbed-tpu-05019 0 0 7
440 0 8 36 3 pc-tbed-tpu-05019 0 0 8
441 0 9 36 3 pc-tbed-tpu-05019 0 0 9
442 0 10 36 3 pc-tbed-tpu-05019 0 0 10
443 0 11 36 3 pc-tbed-tpu-05019 0 0 11
444 0 0 37 3 pc-tbed-tpu-05019 1 0 0
445 0 1 37 3 pc-tbed-tpu-05019 1 0 1
446 0 2 37 3 pc-tbed-tpu-05019 1 0 2
447 0 3 37 3 pc-tbed-tpu-05019 1 0 3
448 0 4 37 3 pc-tbed-tpu-05019 1 0 4
449 0 5 37 3 pc-tbed-tpu-05019 1 0 5
450 0 6 37 3 pc-tbed-tpu-05019 1 0 6
451 0 7 37 3 pc-tbed-tpu-05019 1 0 7
452 0 8 37 3 pc-tbed-tpu-05019 1 0 8
453 0 9 37 3 pc-tbed-tpu-05019 1 0 9
454 0 10 37 3 pc-tbed-tpu-05019 1 0 10
455 0 11 37 3 pc-tbed-tpu-05019 1 0 11
